id,name,rating,address,city,lat,lon
0,99-tea-house-fremont-2,4.5,3623 Thornton Ave,Fremont,37.56295,-122.01004
1,one-tea-fremont-2,4.5,46809 Warm Springs Blvd,Fremont,37.48906669,-121.9294138
2,royaltea-usa-fremont,4,38509 Fremont Blvd,Fremont,37.55131513,-121.9938498
3,teco-tea-and-coffee-bar-fremont,4.5,39030 Paseo Padre Pkwy,Fremont,37.5536945,-121.981043
4,t-lab-fremont-3,4,34133 Fremont Blvd,Fremont,37.576149,-122.0437049
5,q-tea-monster-newark,4,39181 Cedar Blvd,Newark,37.52296041,-122.0057856
6,gong-cha-fremont,6.7,46827 Warm Springs Blvd,Fremont,37.48856826,-121.9291913
6,gong-cha-fremont,4,46827 Warm Springs Blvd,Fremont,37.48856826,-121.9291913
7,happy-lemon-fremont-2,4.5,46873 Warm Spring Blvd,Fremont,37.48844291,-121.9303837
8,factory-tea-bar-fremont-2,3.5,46461 Mission Blvd,Fremont,37.4922976,-121.9279187
9,super-cue-cafe-fremont,3.5,43743 Boscell Rd,Fremont,37.50077829,-121.973168
10,milk-and-honey-cafe-fremont,3.5,34265 Fremont Blvd,Fremont,37.5754481,-122.0425869
11,tea-island-fremont-2,4,46196 Warm Springs Blvd,Fremont,37.49354144,-121.9298894
12,taro-taro-dessert-and-tea-house-fremont,3.5,6018 Stevenson Blvd,Fremont,37.51959738,-121.9894932
13,i-tea-fremont-2,3.5,43421 Christy St,Fremont,37.50499244,-121.9712317
14,i-tea-newark,4,34925 Newark Blvd,Newark,37.55069358,-122.0514675
15,sharetea-fremont-2,4,3948 Washington Blvd,Fremont,37.53195,-121.95789
16,urbain-tea-fremont,3.5,1590 Washington Blvd,Fremont,37.53123141,-121.9370478
17,mandro-teahouse-newark-3,4,34956 Newark Blvd,Newark,37.55150492,-122.0502722
18,gong-cha-newark,4,39730 Cedar Blvd,Newark,37.5208,-121.996426
19,tea-six-fremont-2,3.5,34460 Fremont Blvd,Fremont,37.57509,-122.0386
20,tata-teahouse-fremont-2,3,39230 Argonaut Way,Fremont,37.543782,-121.986825
21,tea-station-newark,3.5,39115 Cedar Blvd,Newark,37.523356,-122.006645
22,sno-crave-tea-house-fremont,3,43773 Boscell Rd,Fremont,37.500044,-121.973622
23,boba-queen-fremont,5.2,34420 Fremont Blvd,Fremont,37.5757,-122.03977
24,t4-tea-fremont-2,3.5,43430 Mission Blvd,Fremont,37.53181,-121.91944
25,boba-fitt-drinks-union-city,3.5,31877 Alvarado Blvd,Union City,37.58971912,-122.0711484
26,sweet-home-cafe-fremont-2,3.5,6068 Stevenson Blvd,Fremont,37.51806664,-121.9895241
27,tea-era-mountain-view-2,4,271 Castro St,Mountain View,37.3929561,-122.0792811
28,teaspoon-los-altos,4,4546 El Camino Real,Los Altos,37.40125417,-122.1144693
29,t4-fremont-8,3.5,46132 Warm Springs Blvd,Fremont,37.4932967,-121.9312981
30,my-delights-fremont,4,43486 Ellsworth St,Fremont,37.5304985,-121.9206376
